STATIONGROUP,STATIONGROUPDESCRIPTION,FACGEOGROUP,FINALCUT
513,513: I 15 1 mile N of S Parowan Int. MP 76.320 FC 01,,0
601,601: SR 92 American Fork Canyon W Toll Booth MP 7.961 FC 17,,0
602,602: SR 92 American Fork Canyon E Toll Booth MP 22.519 FC 07,,0
605,"605: SR 224 0.1 mile N of Canyons Resort Drive, Park City MP 8.920 FC 02",,0
606,"606: SR 248 0.5 mile W of SR 40, Park City MP 2.561 FC 02",,0
609,609: SR 167 1.2 miles W of Mountain Green Int. MP 1.250 FC 07,,0
611,"611: I 15 1 mile S of SR 77, Springville Int. MP 259.520 FC 11",,0
612,"612: I 15 N of SR 126 Int., Layton MP 331.071 FC 11",,0
613,613: I 15 2 miles S of S Brigham Int. MP 360.800 FC 01,,0
614,614: I 84 3.2 miles W of Bothwell Int. MP 36.640 FC 01,,0
615,"615: I 80 0.5 mile E of SR 36 Mills Jct., Tooele MP 99.500 FC 01",,0
616,"616: I 15 0.7 mile N of I 215 On-Ramp, Woods Cross MP 314.600 FC 11",,0
617,"617: I 215 5800 S Knudsen_s Corner, SLC MP 5.100 FC 11",,0
618,"618: SR 73 W of SR 68 Redwood Rd, Lehi  MP 36.133 FC 14",,0
619,"619: SR 201 6174 W, SLC MP 10.600 FC 12",,0
620,"620: SR 30 W of 600 W, Logan MP 109.100 FC 12",,0
621,"621: I 15 0.43 mile S of Washington Int., St. George MP 10.500 FC 11",,0
622,"622: SR 165 2121 S, Millville MP 9.350 FC 16",,0
623,"623: SR 18 Bluff Street, St. George MP 1.600 FC 14",,0
624,624: SR 67 Legacy Parkway MP 0.944 FC 12,,0
625,625: SR 67 Legacy Parkway MP 11.418 FC 12,,0
626,"626: SR 73 800 W, Saratoga Springs MP 35.800 FC 14",,0
627,627: SR 154 7700 S Bangerter Highway MP 13.004,,0
628,"628: I-215 1100 West, East of Redwood Rd. MP 28.550",,0
629,629: I-15 2900 South MP 304.001,,0
630,"630: I 15 8550 South, Midvale MP 296.400 FC 02",,0
631,"631: SR 266 4700 S 1075 W, SLC MP 1.923 FC 14",,0
632,"632: SR 145 Pioneer Crossing VMS Sign, Lehi-American Fork MP 4.407",,0
633,633: SR 85 Porter Rockwell Blvd @ 2300 West MP 3.374,,0
634,634: SR 85 7600 South Mountainview Corridor MP 15.840,,0
635,"635: I 15, 15400 South, Draper",,0
636,636: SR 154 Bangerter @ 700 W Draper MP 1.857,,0
637,637: I 215 @ 3900 S West Valley MP 16.880 NB,,0
638,638: I-15 N. South Santaquin,,0
639,"639: I-15 N. of SR-178, Payson",,0
640,"640: I-15 N. of Center Street  NB, Orem",,0
641,"641: I-15 N. of SR 52 800 N.  NB, Orem",,0
642,"642: SR-52 800 N. E. of I-15, Orem",,0
643,"643: Jct SR 89 - SR 74 via 1200 East and 10400 South.,Highland",,0
644,"644: FR-2285 Pony Express Pkwy W. of Redwood Rd., Eagle Mountain",,0
645,"645: SR-129 N. County Blvd N. of Pleasant Grove Blvd., Pleasant Grove",,0
646,"646: SR-77 400 S. E. of I-15, Springville",,0
647,"647: SR-89 400 N., Lindon",,0
648,"648: SR-194 2100 N. E. of SR-68 WB, Lehi",,0
649,"649: SR-114 Provo Center E. of I-15, Provo",,0
650,"650: 100 West Santaquin Via SR-6, Santaquin",,0
651,"651: SR-114 Geneva Rd N. of University Pkwy., Orem",,0
653,"653: SR-156 Main st., Spanish Fork",,0
654,"654: SR-178 800 S. E. of 1000 W., Payson",,0
655,655: I-15 N. of SR 164 South Spanish Fork,,0
656,"656: SR-129 North County Blvd N. of 2600 N., Cedar Hills",,0
657,"657: FR-2889 Ranches Pkwy. N. of Pony Express Way., Eagle Mountain",,0
658,"658: SR-89 State St. N. of Pacific Dr., American Fork",,0
659,"659: SR-189 800 North, Provo",,0
660,"660: SR 75 (Road to Ironton) Via SR-89, Provo",,0
661,"661: 800 East - SR 189 Olmstead Junction, Orem",,0
662,662: 2300 West (Lehi) between Main St. and 2100 North,,0
663,"663: Harbor Park Way via Redwood Rd - 400 S Lehi, Saratoga Springs",,0
664,664: Sr-89 In Mapleton,,0
665,"665: I-15 N. of SR 77 NB, Springville",,0
666,666: I-15 between SR-92 and 2100 North Lehi,,0
667,"667: I-15 N. of SR 75 North NB, Springville/Provo",,0
668,"668: I-15 N. of SR 189 University Avenue NB, Provo",,0
669,"669: I-15 N. of SR 265 BYU Diagonal/University Pkwy NB, Provo",,0
670,"670: I-15 N. of SR 241 NB, Lindon / Pleasant Grove",,0
671,"671: I-15 N of SR 180 500 East NB, American Fork",,0
672,672: 278.528,,0
673,"673: I-15 N of SR 73 NB,  Lehi",,0
674,"674: I-15 N of SR 92  NB, Highland / (Alpine)",,0
675,"675: SR-92 By pass @ Center St., Highland",,0
676,"676: SR-92 Center St., Highland",,0
677,677: I-80 Lambs Canyon,,0
678,678: I-80 Kimball Junction,,0
679,679: 500 N Mantua via SR 91 - SR 23 (Center St) Wellsville,,0
702,702: SR-18 Bluff St. 425 N. St. George,,0
703,"703: SR 8 1313 W Sunset Blvd., St. George MP 0.640 FC 16",,0
704,"704: Route 3196 2250 E Redcliff Drive, St. George MP 7.540 FC 17",,0
711,"711: SR 154 2500 S Bangerter Highway, SLC MP 20.229 FC 14",,0
712,"712: SR 7, Southern Parkway, St. George MP 1.337",,0
713,"713: SR 7, Southern Parkway, St. George MP 4.800",,0
714,"714: SR 7, Southern Parkway, St. George MP 6.910",,0
715,"715: SR-9 Quail Ridge Rd., Springdale",,0
716,"716: SR-18 Bluff St., St. George",,0
717,717: I-15 Arizona State Line,,0
718,"718: I-15 Brigham Rd., St. George",,0
719,"719: I-15 Washington Pkwy., Washington",,0
720,"720: I-15 South Beaver, Beaver",,0
721,"721: I-15 Sulpherdale, Sulpherdale",,0
722,"722: I-70 Cove fort, Cove fort",,0
723,"723: I-15 NB @ 500 W., Washington",,0
724,"724: SR-59 East of Hurricane, Hurricane",,0
725,"725: 740 N via State St - Center Ave, Toquerville",,0
726,"726: Fish Hatchery Rd via SR 89 - 200 S, Hatch",,0
727,"727: Central Utah Corr Fac via SR 89 - 200 S Sterling, Gunnison",,0
728,"728: 700 N via SR 89 - SR 132, Ephraim",,0
729,"729: LaSal Loop Rd via SR 191 - Millcreek Dr, Moab",,0
730,"730: SR 89 Jct via SR 12 - SR 63, Bryce Cyn",,0
731,"731: 300 E Emery via SR 10 (Main St) - 100 S Millsite St Park, Ferron",,0
732,"732: 300 S via SR 50 - SR 260, Scipio",,0
733,733: I-15 Blackridge,,0
ALL,All: All Stations in Utah,,0
GRP,GRP: All Station Groups in Utah,,0
CO0,CO0: Combined Alpine Loop,COFACGEO,1
CO1,CO1: Combined Bear Lake,COFACGEO,1
CO2,CO2: Combined Big Cottonwood,COFACGEO,1
CO3,CO3: Combined Cedar Breaks,COFACGEO,1
CO7,CO7: Combined Freeway I-15 Plymouth,COFACGEO,1
CO4,CO4: Combined Freeway I-15 Rural,COFACGEO,1
CO5,CO5: Combined Freeway I-15 Transition,COFACGEO,1
CO6,CO6: Combined Freeway I-15 Suburban/Urban/CBD,COFACGEO,1
CO8,CO8: Combined Freeway I-215,COFACGEO,1
CO9,CO9: Combined Freeway I-70,COFACGEO,1
COA,COA: Combined Freeway I-80 Nevada to Tooele,COFACGEO,1
COB,COB: Combined Freeway I-80 Tooele to Bangerter,COFACGEO,1
COC,COC: Combined Freeway I-80 Bangerter to Foothill,COFACGEO,1
COD,COD: Combined Freeway I-80 Foothill to US-40,COFACGEO,1
COY,COY: Combined Freeway I-80 US-40 to Wyoming,COFACGEO,1
COE,COE: Combined Freeway I-84 West,COFACGEO,1
COZ,COZ: Combined Freeway I-84 East,COFACGEO,1
COF,COF: Combined Freeway Legacy,COFACGEO,1
COG,COG: Combined Freeway SR-201,COFACGEO,1
COH,COH: Combined Freeway US-40,COFACGEO,1
COI,COI: Combined Little Cottonwood / Snowbasin,COFACGEO,1
COJ,COJ: Combined Moab,COFACGEO,1
COK,COK: Combined Park City,COFACGEO,1
COL,COL: Combined Rural Rec Low Volume,COFACGEO,1
COM,COM: Combined Rural Rec Low Volume - Closed Winter,COFACGEO,1
CON,CON: Combined Southeast Low Volume,COFACGEO,1
COO,COO: Combined Southeast High Volume,COFACGEO,1
COP,COP: Combined Statewide Arterial - Rural Low Volume,COFACGEO,1
COQ,COQ: Combined Statewide Arterial - Rural Mid Volume,COFACGEO,1
COR,COR: Combined Statewide Arterial - Rural High Volume,COFACGEO,1
COS,COS: Combined Statewide Arterial - Transition,COFACGEO,1
COT,COT: Combined Statewide Arterial - Suburban,COFACGEO,1
COU,COU: Combined Statewide Arterial - Urban/CBD,COFACGEO,1
XX3,XX3: Combined Statewide Freeway,COFACGEO,1
COV,COV: Combined Washington County Arterial,COFACGEO,1
COW,COW: Combined Washington County Expressway,COFACGEO,1
COX,COX: Combined Washington County Freeway,COFACGEO,1
SN0,SN0: Season Alpine Loop,SSNFACGEO,0
SN1,SN1: Season Bear Lake,SSNFACGEO,0
SN2,SN2: Season Big Cottonwood,SSNFACGEO,0
SN3,SN3: Season Cedar Breaks,SSNFACGEO,0
SN4,SN4: Season Freeway I-15 Rural,SSNFACGEO,0
SN5,SN5: Season Freeway I-15 Transition,SSNFACGEO,0
SN6,SN6: Season Freeway I-15 Suburban,SSNFACGEO,0
SN7,SN7: Season Freeway I-15 Urban/CBD,SSNFACGEO,0
SN8,SN8: Season Freeway I-215,SSNFACGEO,0
SN9,SN9: Season Freeway I-70,SSNFACGEO,0
SNA,SNA: Season Freeway I-80 Rural,SSNFACGEO,0
SNB,SNB: Season Freeway I-80 Transition,SSNFACGEO,0
SNC,SNC: Season Freeway I-80 Suburban,SSNFACGEO,0
SND,SND: Season Freeway I-80 Urban/CBD,SSNFACGEO,0
SNE,SNE: Season Freeway I-84,SSNFACGEO,0
SNF,SNF: Season Freeway Legacy,SSNFACGEO,0
SNG,SNG: Season Freeway SR-201,SSNFACGEO,0
SNH,SNH: Season Freeway US-40,SSNFACGEO,0
SNI,SNI: Season Little Cottonwood / Snowbasin,SSNFACGEO,0
SNJ,SNJ: Season Moab,SSNFACGEO,0
SNK,SNK: Season Park City,SSNFACGEO,0
SNL,SNL: Season Rural Rec Low Volume,SSNFACGEO,0
SNM,SNM: Season Rural Rec Low Volume - Closed Winter,SSNFACGEO,0
SNN,SNN: Season Southeast Low Volume,SSNFACGEO,0
SNO,SNO: Season Southeast High Volume,SSNFACGEO,0
SNP,SNP: Season Statewide Arterial - Rural Low Volume,SSNFACGEO,0
SNQ,SNQ: Season Statewide Arterial - Rural Mid Volume,SSNFACGEO,0
SNR,SNR: Season Statewide Arterial - Rural High Volume,SSNFACGEO,0
SNS,SNS: Season Statewide Arterial - Transition,SSNFACGEO,0
SNT,SNT: Season Statewide Arterial - Suburban,SSNFACGEO,0
SNU,SNU: Season Statewide Arterial - Urban/CBD,SSNFACGEO,0
SNV,SNV: Season Washington County Arterial,SSNFACGEO,0
SNW,SNW: Season Washington County Expressway,SSNFACGEO,0
SNX,SNX: Season Washington County I-15,SSNFACGEO,0
XX1,XX1: Season Wasatch Front Commuter Freeway,SSNFACGEO,0
U00,U00: UDOT Stand Alone,,0
U40,U40: UDOT UrbanInterstate,,0
U43,U43: UDOT UrbanOtherFwyExpPrinArt,,0
U45,U45: UDOT UrbanMinArtMjrColMinColLoc,,0
U50,U50: UDOT RuralInterstate,,0
U51,U51: UDOT RuralOthPrinArt,,0
U53,U53: UDOT RuralMinArtMajColMinColLoc,,0
U60,U60: UDOT NorthRec,,0
U62,U62: UDOT CottonwoodCanyons,,0
U63,U63: UDOT GardenCityArea,,0
U70,U70: UDOT StGeorge,,0
U75,U75: UDOT HighElevation,,0
WD0,WD0: Weekday Arterial Rural,WDFACGEO,0
WD1,WD1: Weekday Arterial Transition,WDFACGEO,0
WD2,WD2: Weekday Arterial Suburban,WDFACGEO,0
WD3,WD3: Weekday Arterial Urban/CBD,WDFACGEO,0
WD4,WD4: Weekday Canyon,WDFACGEO,0
WD5,WD5: Weekday Expressway Rural/Transition,WDFACGEO,0
WD6,WD6: Weekday Expressway Suburban,WDFACGEO,0
WD7,WD7: Weekday Expressway Urban/CBD,WDFACGEO,0
WD8,WD8: Weekday Freeway I-15 Rural,WDFACGEO,0
WD9,WD9: Weekday Freeway I-15 Transition,WDFACGEO,0
WDA,WDA: Weekday Freeway I-15 Suburban/Urban/CBD,WDFACGEO,0
WDB,WDB: Weekday Freeway I-215,WDFACGEO,0
WDC,WDC: Weekday Freeway I-70,WDFACGEO,0
WDD,WDD: Weekday Freeway I-80 Rural,WDFACGEO,0
XX2,XX2: Weekday Freeway I-80 Transition,WDFACGEO,0
WDE,WDE: Weekday Freeway I-80 Suburban,WDFACGEO,0
WDF,WDF: Weekday Freeway I-80 Urban/CBD,WDFACGEO,0
WDG,WDG: Weekday Freeway I-84 East,WDFACGEO,0
WDH,WDH: Weekday Freeway I-84 West,WDFACGEO,0
WDI,WDI: Weekday Freeway Legacy,WDFACGEO,0
WDJ,WDJ: Weekday Freeway SR-201,WDFACGEO,0
WDK,WDK: Weekday Freeway US-40,WDFACGEO,0
XX4,XX4: Weekday Freeway Statewide,WDFACGEO,0
